region;country;year;population;TOTAL Actual DD;Actual DBD;Actual DCD;Total Utilized DD;Utilized DBD;Utilized DCD;DD Kidney Tx;LD Kidney Tx;TOTAL Kidney Tx;DD Liver Tx;DOMINO Liver Tx;LD Liver Tx;TOTAL Liver TX;Total Heart TX;DD Lung Tx;LD Lung Tx;TOTAL Lung Tx;Pancreas Tx;Kidney Pancreas Tx;Small Bowel Tx;TOTAL tx;development;idh;pmp_TOTAL tx;pmp_TOTAL Actual DD;pmp_Actual DBD;pmp_Actual DCD;pmp_Total Utilized DD;pmp_Utilized DBD;pmp_Utilized DCD;pmp_DD Kidney Tx;pmp_LD Kidney Tx;pmp_TOTAL Kidney Tx;pmp_DD Liver Tx;pmp_DOMINO Liver Tx;pmp_LD Liver Tx;pmp_TOTAL Liver TX;pmp_Total Heart TX;pmp_DD Lung Tx;pmp_LD Lung Tx;pmp_TOTAL Lung Tx;pmp_Pancreas Tx;pmp_Kidney Pancreas Tx;pmp_Small Bowel Tx;idx_region
Europe;Russian Federation;2020;145,9;572,0;553,0;19,0;564,0;547,0;17,0;967,0;157,0;1124,0;390,0;0,0;169,0;559,0;251,0;11,0;11,0;11,0;16,0;16,0;1,0;1962,0;Very high human development;0,818;13,447566826593556;3,920493488690884;3,7902673063742287;0,13022618231665523;3,8656614119259767;3,7491432488005483;0,11651816312542837;6,627827278958191;1,0760795065113091;7,703906785469499;2,673063742289239;0,0;1,1583276216586702;3,8313913639479096;1,7203564084989718;0,07539410555174778;0,07539410555174778;0,07539410555174778;0,10966415352981494;0,10966415352981494;0,006854009595613434;1
Europe;Serbia;2020;8,7;3,0;3,0;0,0;3,0;3,0;0,0;6,0;0,0;6,0;3,0;0,0;0,0;3,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;Very high human development;0,809;1,149425287356322;0,3448275862068966;0,3448275862068966;0,0;0,3448275862068966;0,3448275862068966;0,0;0,6896551724137931;0,0;0,6896551724137931;0,3448275862068966;0,0;0,0;0,3448275862068966;0,1149425287356322;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Serbia;2021;8,7;3,0;3,0;0,0;3,0;3,0;0,0;5,0;0,0;5,0;3,0;0,0;0,0;3,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;9,0;Very high human development;0,807;1,0344827586206897;0,3448275862068966;0,3448275862068966;0,0;0,3448275862068966;0,3448275862068966;0,0;0,574712643678161;0,0;0,574712643678161;0,3448275862068966;0,0;0,0;0,3448275862068966;0,1149425287356322;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Serbia;2022;8,7;2,0;2,0;0,0;2,0;2,0;0,0;2,0;16,0;18,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;Very high human development;0,826;2,0689655172413794;0,2298850574712644;0,2298850574712644;0,0;0,2298850574712644;0,2298850574712644;0,0;0,2298850574712644;1,8390804597701151;2,0689655172413794;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Serbia;2023;7,1;13,0;13,0;0,0;13,0;13,0;0,0;23,0;28,0;51,0;4,0;0,0;0,0;4,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;60,0;Very high human development;0,833;8,450704225352114;1,8309859154929577;1,8309859154929577;0,0;1,8309859154929577;1,8309859154929577;0,0;3,23943661971831;3,943661971830986;7,183098591549296;0,5633802816901409;0,0;0,0;0,5633802816901409;0,7042253521126761;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Serbia;2024;7,1;9,0;9,0;0,0;9,0;9,0;0,0;17,0;0,0;17,0;6,0;0,0;0,0;6,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;30,0;Very high human development;0,8175;4,225352112676057;1,267605633802817;1,267605633802817;0,0;1,267605633802817;1,267605633802817;0,0;2,3943661971830985;0,0;2,3943661971830985;0,8450704225352114;0,0;0,0;0,8450704225352114;0,9859154929577465;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Slovakia;2020;5,5;70,0;70,0;0,0;67,0;67,0;0,0;113,0;18,0;131,0;19,0;0,0;0,0;19,0;27,0;0,0;0,0;0,0;0,0;0,0;0,0;177,0;Very high human development;0,867;32,18181818181818;12,727272727272727;12,727272727272727;0,0;12,181818181818182;12,181818181818182;0,0;20,545454545454547;3,272727272727273;23,818181818181817;3,4545454545454546;0,0;0,0;3,4545454545454546;4,909090909090909;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Slovakia;2021;5,5;60,0;60,0;0,0;55,0;55,0;0,0;97,0;18,0;115,0;26,0;0,0;0,0;26,0;17,0;0,0;0,0;0,0;0,0;0,0;0,0;158,0;Very high human development;0,859;28,727272727272727;10,909090909090908;10,909090909090908;0,0;10,0;10,0;0,0;17,636363636363637;3,272727272727273;20,90909090909091;4,7272727272727275;0,0;0,0;4,7272727272727275;3,090909090909091;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Slovakia;2022;5,5;71,0;71,0;0,0;69,0;69,0;0,0;124,0;30,0;154,0;43,0;0,0;0,0;43,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0;217,0;Very high human development;0,873;39,45454545454545;12,909090909090908;12,909090909090908;0,0;12,545454545454545;12,545454545454545;0,0;22,545454545454547;5,454545454545454;28,0;7,818181818181818;0,0;0,0;7,818181818181818;3,6363636363636362;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Slovakia;2023;5,8;68,0;68,0;0,0;64,0;64,0;0,0;114,0;16,0;130,0;40,0;0,0;0,0;40,0;18,0;0,0;0,0;0,0;0,0;0,0;0,0;188,0;Very high human development;0,88;32,41379310344828;11,724137931034484;11,724137931034484;0,0;11,03448275862069;11,03448275862069;0,0;19,655172413793103;2,7586206896551726;22,413793103448278;6,8965517241379315;0,0;0,0;6,8965517241379315;3,103448275862069;0,0;0,0;0,0;0,0;0,0;0,0;1
